NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
3328	to dare	to dare			N/a	1779	DARE
3329	to dawn	to dawn			Physical processes		
3330	to deal with	to deal with			N/a		
3331	to debauch	to debauch	to corrupt someone morally		N/a		
3332	to deceive	to deceive			Interpersonal relations	3230	DECEIVE
3333	to decide	to decide			Mental acts and states	685	DECIDE
3334	to decline from the route	to decline from the route			Motion		
3335	to decorate, award	to decorate, award	to honor by providing a medal, ribbon, or other adornment		Physical effect		
3336	to decorticate, debark	to decorticate, debark	to remove the bark from a tree, especially one that has been felled		N/a		
3337	to decrease (water level)	to decrease (water level)			N/a		
3338	to decrease drastically	to decrease drastically			Physical processes		
3339	to defeat, win	to defeat, win	None		Interpersonal relations	866	WIN
3340	to defecate	to defecate			Physical processes	676	SHIT (DEFECATE)
3341	to defend	to defend			Interpersonal relations	1330	DEFEND
3342	to deflorate	to deflorate			Physical effect		
3343	to demote	to demote	to lower the rank or status of		N/a		
3344	to dense	to dense			Physical processes		
3345	to depend	to depend			Abstract relations	756	DEPEND
3346	to deprave	to deprave			Interpersonal relations		
3347	to deprive	to deprive			N/a		
3348	to derive profit	to derive profit			Interpersonal relations		
3349	to desire	to desire			N/a	2117	DESIRE
3350	to despair	to despair			Emotions		
3351	to despise	to despise			N/a	2715	DESPISE
3352	to destroy, annihilate	to destroy, annihilate	None		Physical effect	681	DESTROY
3353	to detect	to detect			N/a	3895	DETECT
3354	to develop	to develop			Abstract relations		
3355	to die	to die			Physical processes	1494	DIE
3356	to differ, to make distinction	to differ, to make distinction			N/a	2504	DIFFERENT
3357	to dig	to dig			Physical effect	1418	DIG
3358	to digest (food)	to digest (food)			N/a		
3359	to dilute	to dilute			Physical effect	550	DILUTE
3360	to diminish	to diminish			Physical processes	1184	DIMINISH
3361	to dip	to dip	to plunge or immerse momentarily or partially into a liquid		N/a	3697	DIP
3362	to disagree	to disagree	to fail to agree; to have a different opinion or belief		N/a		
3363	to disappear	to disappear			Location	485	DISAPPEAR
3364	to disapprove	to disapprove			Interpersonal relations		
3365	to discharge, dismiss	to discharge, dismiss			N/a		
3366	to discover game animals or birds (hunting)	to discover game animals or birds (hunting)			N/a		
3367	to discriminate, to treat improperly	to discriminate, to treat improperly			N/a		
3368	to discuss	to discuss			N/a		
3369	to disdain	to disdain			Abstract relations		
3370	to disgrace, dishonor	to disgrace, dishonor			Interpersonal relations	75	DISGRACE
3371	to dislocate (of a joint)	to dislocate (of a joint)			Physical processes	551	DISLOCATE
3372	to disperse (intr., about cloud)	to disperse (intr., about cloud)			N/a		
3373	to dissolve in liquid (tr.)	to dissolve in liquid (tr.)			Physical effect		
3374	to distill, retort	to distill, retort			Physical effect		
3375	to distinguish	to distinguish			N/a		
3376	to distort	to distort			Mental acts and states		
3377	to distract	to distract			Interpersonal relations		
3378	to dive	to dive			Motion	119	DIVE
3379	to divide into several parts	to divide into several parts			Physical effect	1119	DIVIDE
3380	to divorce	to divorce			N/a	3672	DIVORCE (SEPARATE)
3381	to do something one after another	to do something one after another			N/a		
3382	to do sport, take exercise	to do sport, take exercise			N/a		
3383	to do, act	to do, act	None		Physical effect	813	DO
3384	to doubt	to doubt			Mental acts and states	3536	DOUBT (SOMETHING)
3385	to draft (for the army)	to draft (for the army)			Interpersonal relations		
3386	to drag	to drag			Physical effect	2030	DRAG
3387	to draw (an official paper)	to draw (an official paper)			Interpersonal relations		
3388	to draw water	to draw water			Physical effect	1911	DRAW (WATER)
3389	to draw, paint	to draw, paint			Physical effect	2001	PAINTING
3390	to dream (of)	to dream (of)			N/a	1920	DREAM (SOMETHING)
3391	to dream while sleeping	to dream while sleeping			Perception	1920	DREAM (SOMETHING)
3392	to dress leather	to dress leather			N/a		
3393	to dress someone (tr.)	to dress someone (tr.)			N/a	814	DRESS UP
3394	to drill	to drill			Physical effect	1501	BORE
3395	to drink	to drink			Physical effect	1401	DRINK
3396	to drink alcohol	to drink alcohol	to consume alcoholic beverages		N/a		
3397	to drive (the car)	to drive (the car)			Physical effect	741	DRIVE
3398	to drive, to force to move on	to drive, to force to move on			Motion	3290	IMPEL
3399	to drop (of liquid)	to drop (of liquid)			Physical processes	808	DRIP (FALL IN GLOBULES)
3400	to drop (tr.)	to drop (tr.)			N/a	2866	DROP (SOMETHING)
3401	to drop by	to drop by			N/a		
3402	to dry	to dry	to remove moisture from		N/a	2015	MAKE DRY
3403	to duck	to duck	to quickly lower the head or body, often in order to prevent it from being struck by something		N/a		
3404	to dye	to dye			Physical effect	157	DYE
3405	to earth up (plants)	to earth up (plants)			N/a		
3406	to ease	to ease			N/a		
3407	to eat	to eat			Physical effect	1336	EAT
3408	to eat too much	to eat too much			N/a		
3409	to emerge from the water	to emerge from the water			N/a		
3410	to emit smoke	to emit smoke			Physical processes	2859	SMOKE (EMIT SMOKE)
3411	to emotionalize	to emotionalize			N/a		
3412	to employ	to employ			N/a		
3413	to encircle, surround	to encircle, surround	None		N/a	3274	ENCIRCLE
3414	to enculturate, civilize	to enculturate, civilize			N/a		
3415	to end, finish	to end, finish	None		Phasal	1766	FINISH
3416	to endure	to endure			Abstract relations	833	ENDURE
3417	to endure a load	to endure a load			N/a		
3418	to enjoy	to enjoy			Emotions		
3419	to enter	to enter			Motion	749	ENTER
3420	to enter into a contract	to enter into a contract	to enter into a contract		N/a		
3421	to equalize	to equalize			Physical effect		
3422	to erupt	to erupt			N/a	3112	ERUPT
3423	to escape, flee	to escape, flee	None		Motion	1615	ESCAPE
3424	to establish, found	to establish, found			Interpersonal relations		
3425	to evaporate, exhale	to evaporate, exhale			Physical processes		
3426	to evoke (a feeling)	to evoke (a feeling)			Emotions		
3427	to exhaust	to exhaust			N/a		
3428	to exist	to exist			Existence		
3429	to experience an orgasm	to experience an orgasm			N/a		
3430	to explain	to explain			Speech	1626	EXPLAIN
3431	to explain	to explain			Speech	1626	EXPLAIN
3432	to expose to the action of steam	to expose to the action of steam			N/a		
3433	to express agreement	to express agreement			N/a		
3434	to extinguish	to extinguish			Physical effect	127	EXTINGUISH
3435	to extort (money from smb.)	to extort (money from smb.)			Interpersonal relations		
3436	to extract a thorn	to extract a thorn	None		Natural objects		
3437	to exude (liquid)	to exude (liquid)	slowly exude (liquid), when it oozes or seeps out of something		N/a		
3438	to fail	to fail			Interpersonal relations	3861	FAIL
3439	to fail (of engine)	to fail (of engine)			N/a	3861	FAIL
3440	to faint	to faint	to lose consciousness temporarily		N/a	3616	FAINT (PASS OUT)
3441	to fall (of rain, snow)	to fall (of rain, snow)			Physical processes	2234	FALL (OF SNOW AND RAIN)
3442	to fall asleep	to fall asleep			Physiologic processes and states	1106	FALL ASLEEP
3443	to fall down	to fall down			Physical processes	1280	FALL
3444	to fall in love	to fall in love			N/a		
3445	to fall to one's lot	to fall to one&#39;s lot			N/a		
3446	to fasten, to rope	to fasten, to rope			N/a	1094	FASTEN
3447	to fear	to fear			Emotions	1419	FEAR (BE AFRAID)
3448	to fear	to fear			Emotions	1419	FEAR (BE AFRAID)
3449	to feed	to feed			Physical effect	739	FEED
3450	to feel	to feel			Perception	1079	FEEL
3451	to feel (an emotion)	to feel (an emotion)			Emotions	2573	FEELING (EMOTION)
3452	to feel affection	to feel affection			N/a		
3453	to feel dizzy	to feel dizzy			Physical processes	2712	GET DIZZY
3454	to feel hunger	to feel hunger			Physiology	1533	BE HUNGRY
3455	to feel pity	to feel pity			Emotions		
3456	to feel pleasure	to feel pleasure			Emotions		
3457	to feel shy, embarrassed	to feel shy, embarrassed			N/a		
3458	to feel sick	to feel sick			Physiologic processes and states	1847	SICK
3459	to feel thirsty	to feel thirsty			Physiologic processes and states	3474	BE THIRSTY
3460	to fence	to fence			Physical effect		
3461	to ferment, yeast	to ferment, yeast			Physical processes	3652	FERMENT
3462	to fight (war)	to fight (war)			Interpersonal relations		
3463	to fight, scuffle	to fight, scuffle			Interpersonal relations	2902	BRAWL (FIGHT)
3464	to fill (tr.)	to fill (tr.)			Physical effect	2006	FILL
3465	to find	to find			Possession	719	FIND
3466	to fire (from job)	to fire (from job)			N/a		
3467	to fish	to fish			Physical effect	2638	FISHING
3468	to fit, suit	to fit, suit			N/a	764	SUIT
3469	to fit, try on	to fit, try on			N/a		
3470	to flame up	to flame up	to flare, to become inflamed		N/a		
3471	to flap, wave	to flap, wave			N/a		
3472	to flap, wave (hands)	to flap, wave (hands)	to move up and down		Natural objects		
3473	to flatter	to flatter			Interpersonal relations	2709	FLATTER
3474	to flirt	to flirt			Interpersonal relations	494	FLIRT
3475	to float	to float			Motion	1574	FLOAT
3476	to flog	to flog			N/a		
3477	to flow	to flow			Motion	2003	FLOW
3478	to flow into	to flow into			Physical processes		
3479	to flutter (of flag)	to flutter (of flag)	to flap or wave quickly but irregularly		N/a		
3480	to fly	to fly			Motion	1441	FLY (MOVE THROUGH AIR)
3481	to fly away	to fly away			Motion	1441	FLY (MOVE THROUGH AIR)
3482	to fly up	to fly up			N/a		
3483	to fold (cloth)	to fold (cloth)			Physical effect	1470	FOLD
3484	to follow each other	to follow each other			N/a		
3485	to follow logically	to follow logically			Abstract relations		
3486	to follow unthinkingly	to follow unthinkingly			N/a		
3487	to follow, go after smb.	to follow, go after smb.	None		Motion	1085	FOLLOW
3488	to force to work	to force to work			Interpersonal relations		
3489	to foresee	to foresee			Mental acts and states		
3490	to forge	to forge	to shape a metal by heating and hammering		Physical effect	288	FORGE
3491	to forget	to forget			Mental acts and states	1523	FORGET
3492	to forgive	to forgive			Interpersonal relations	1528	FORGIVE
3493	to form the fruit (of plant)	to form the fruit (of plant)			Physical processes		
3494	to fornicate	to fornicate			Interpersonal relations	103	FORNICATE
3495	to freeze, be cold	to freeze, be cold	None		Physical processes		
3496	to freeze, to become motionless	to freeze, to become motionless			N/a		
3497	to freeze, to congeal	to freeze, to congeal	of a liquid, to become solid due to low temperature		N/a	1431	FREEZE
3498	to frighten	to frighten			N/a	252	FRIGHTEN
3499	to fulfill a vow	to fulfill a vow			N/a		
3500	to function	to function	to carry out a function; to be in action		N/a		
3501	to gain, to earn	to gain, to earn			N/a	733	EARN
3502	to gamble	to gamble			Interpersonal relations		
3503	to gas (a car), to refuel	to gas (a car), to refuel			Physical effect		
3504	to gather in the crops	to gather in the crops			N/a		
3505	to gather, collect	to gather, collect			N/a	7	GATHER
3506	to get (in games)	to get (in games)			N/a		
3507	to get (to), to find oneself (in)	to get (to), to find oneself (in)			Location		
3508	to get a cramp, spasm	to get a cramp, spasm	to get an uncontrolled painful contraction of a muscle		Physiologic processes and states		
3509	to get accustomed	to get accustomed			Interpersonal relations	1118	ACCUSTOM
3510	to get along (with smb.)	to get along (with smb.)	to interact or coexist well, without argument or trouble		N/a		
3511	to get angry	to get angry			N/a	2215	BECOME ANGRY
3512	to get dark	to get dark			N/a		
3513	to get dirty, soiled	to get dirty, soiled			Physical processes		
3514	to get drunk	to get drunk			Physical processes	3980	GET DRUNK
3515	to get dry	to get dry			Physical processes	1786	DRY UP
3516	to get immunity	to get immunity	become immune to a disease as a result of vaccination or past illness		N/a		
3517	to get information	to get information			N/a		
3518	to get money	to get money			N/a		
3519	to get mouldy (musty)	to get mouldy (musty)			Physical processes		
3520	to get moving	to get moving	to begin moving		N/a		
3521	to get off a vehicle	to get off a vehicle			Motion		
3522	to get on a vehicle	to get on a vehicle			Motion		
3523	to get on well, be on good terms	to get on well, be on good terms	to have a good relationship		Interpersonal relations		
3524	to get rid of	to get rid of	to do something so as to no longer be bothered by something or someone		N/a		
3525	to get stuck	to get stuck	to find itself (oneself) in a position which makes it impossible to move		Physical processes		
3526	to get tired	to get tired	to become weary, drained of energy		Physical processes	1996	GET TIRED
3527	to get tired	to get tired			N/a	1996	GET TIRED
3528	to get wet	to get wet	to become soaked with liquid		Physical processes	2324	GET WET
3529	to get, obtain	to get, obtain	to gain possession of something		Possession	694	GET
3530	to give	to give	to put another person in possession of something		Physical effect	1447	GIVE
3531	to give birth	to give birth	to become parent by releasing offspring		Physical effect	1195	GIVE BIRTH
3532	to give birth to twins	to give birth to twins			N/a		
3533	to glorify	to glorify	to exalt, praise something or someone		Interpersonal relations		
3534	to gnaw	to gnaw	to bite something persistently		Physical effect	2706	GNAW
3535	to go against the wind	to go against the wind	to move in the direction opposite the one in which the wind blows		N/a		
3536	to go apart, in various directions	to go apart, in various directions			Motion		
3537	to go around	to go around			Motion		
3538	to go away	to go away			Motion	1752	LEAVE
3539	to go blind	to go blind			N/a		
3540	to go crazy	to go crazy			N/a		
3541	to go deaf	to go deaf			N/a		
3542	to go down	to go down			Motion	2014	GO DOWN (DESCEND)
3543	to go downstream	to go downstream	to move along in the flow of current, for example in relation to a river		N/a		
3544	to go forward, advance	to go forward, advance			Motion		
3545	to go mad	to go mad			Mental acts and states		
3546	to go out	to go out			Motion	1107	GO OUT
3547	to go out (of fire)	to go out (of fire)			N/a		
3548	to go out (of light)	to go out (of light)	None		Physical processes		
3549	to go overripe	to go overripe			N/a		
3550	to go through	to go through			N/a	1742	TRAVERSE
3551	to go up	to go up			Motion	705	GO UP (ASCEND)
3552	to go upstream	to go upstream			N/a		
3553	to go, walk	to go, walk			Motion	695	GO
3554	to govern, control, rule	to govern, control, rule			Interpersonal relations	1846	RULE
3555	to grasp, seize	to grasp, seize			Physical effect	855	SEIZE
3556	to graze	to graze	to eat grass from a pasture		N/a	3058	GRAZE
3557	to greet	to greet			Speech	3552	GREET
3558	to grieve (intr.)	to grieve (intr.)			Mental acts and states	1955	GRIEVE
3559	to grieve (tr.)	to grieve (tr.)			Emotions		
3560	to grind (with the pestle)	to grind (with the pestle)			N/a	1033	GRIND
3561	to grow (plants)	to grow (plants)			Other physical	3461	GROW PLANTS
3562	to grow heavy	to grow heavy	to increase in weight		N/a		
3563	to grow numb	to grow numb			Physical processes	2216	BECOME NUMB
3564	to grow thin	to grow thin			Physical processes		
3565	to grow up	to grow up			Physical processes	552	GROW UP
3566	to growl	to growl			N/a	3679	GROWL
3567	to grudge	to grudge			Mental acts and states		
3568	to grumble	to grumble			Speech		
3569	to guard	to guard			Interpersonal relations	1940	GUARD
3570	to guess	to guess			Mental acts and states	1932	GUESS
3571	to hang	to hang			Space	2884	HANG
3572	to hang (tr.)	to hang (tr.)	to suspend, fasten to an elevated point		N/a	357	HANG UP
3573	to happen	to happen			Existence	248	HAPPEN
3574	to harass	to harass			N/a	2869	BOTHER (HARASS)
3575	to harden	to harden			N/a		
3576	to harm, to damage	to harm, to damage			N/a	1116	DAMAGE
3577	to harness	to harness			Physical effect	2217	YOKE (VERB)
3578	to hatch eggs	to hatch eggs			N/a	3116	HATCH (OUT)
3579	to hatch out, brood	to hatch out, brood			Physical effect	2075	BROOD (VERB)
3580	to hate, to dislike	to hate, to dislike			Emotions	1607	HATE
3581	to haul to shore	to haul to shore	to pull out of the water (boat, net)		N/a		
3582	to haunt, bother	to haunt, bother			N/a	2869	BOTHER (HARASS)
3583	to have a good relationship	to have a good relationship			N/a		
3584	to have an appearance	to have an appearance			N/a		
3585	to have equal rights	to have equal rights			N/a		
3586	to have experience	to have experience			Abstract relations	2218	EXPERIENCED
3587	to have fun	to have fun			N/a	3239	AMUSE ONESELF (HAVE FUN)
3588	to have luck	to have luck			N/a		
3589	to have mercy	to have mercy			N/a		
3590	to have opinion	to have opinion			Mental acts and states		
3591	to have relationships (romantic or sexual)	to have relationships (romantic or sexual)			N/a		
3592	to have smell	to have smell	to have a particular smell, whether good or bad		Perception	1587	SMELL (STINK)
3593	to have strange ideas	to have strange ideas			N/a		
3594	to have, possess	to have, possess			Possession	773	HAVE
3595	to heal (of a wound)	to heal (of a wound)			Physical processes		
3596	to hear	to hear			Perception	1408	HEAR
3597	to hear / to listen	to hear / to listen			N/a		
3598	to heat up	to heat up			Physical effect	1341	HEAT UP
3599	to help, aid	to help, aid			Abstract relations	1897	HELP
3600	to hesitate	to hesitate			N/a	3629	HESITATE
3601	to hew	to hew			Physical effect	553	HEW
3602	to hide (tr.)	to hide (tr.)			Physical effect	602	HIDE (CONCEAL)
3603	to hinder	to hinder			Interpersonal relations	554	HINDER
3604	to hint	to hint			Speech		
3605	to hiss	to hiss			N/a	3685	HISS
3606	to hit by axe	to hit by axe			N/a		
3607	to hit the target	to hit the target			Physical effect	3307	HIT (A TARGET)
3608	to hobble	to hobble	to fetter by tying the legs; to restrict a horse with hobbles		N/a		
3609	to hold (in hands)	to hold (in hands)			Location	1448	HOLD
3610	to hope	to hope			Mental acts and states	3212	HOPE (SOMETHING)
3611	to howl	to howl			Sound	526	HOWL
3612	to hug, embrace	to hug, embrace			Physical effect	928	EMBRACE
3613	to humble, to abase	to humble, to abase			Interpersonal relations		
3614	to hunt	to hunt			Physical effect	1435	HUNT
3615	to hurt	to hurt			Physical effect		
3616	to ice over	to ice over			Physical processes		
3617	to ignore	to ignore			Interpersonal relations	41	IGNORE
3618	to imitate	to imitate			Interpersonal relations	117	IMITATE
3619	to imitate	to imitate			Interpersonal relations	117	IMITATE
3620	to imprison	to imprison			N/a		
3621	to improve	to improve			Abstract relations	2872	IMPROVE (SOMETHING)
3622	to improve (intr.), become better	to improve (intr.), become better	None		N/a		
3623	to incline	to incline	to bend forward		N/a		
3624	to increase (tr.)	to increase (tr.)			N/a		
3625	to incur losses	to incur losses			Interpersonal relations		
3626	to indicate something bad	to indicate something bad			N/a		
3627	to induce	to induce			Interpersonal relations	61	INDUCE
3628	to inflate (intr.)	to inflate (intr.)	to enlarge by filling with air (or a gas)		N/a		
3629	to inform, let know	to inform, let know			Interpersonal relations		
3630	to infringe	to infringe			Interpersonal relations	555	INFRINGE
3631	to inhabit, live	to inhabit, live			Location	363	DWELL (LIVE, RESIDE)
3632	to inoculate	to inoculate			N/a		
3633	to insert	to insert			Physical effect	3071	INSERT
3634	to instigate	to instigate			N/a		
3635	to insult	to insult			N/a	3204	INSULT
3636	to intend	to intend			Volition	22	INTEND
3637	to intoxicate	to intoxicate			N/a		
3638	to invest	to invest			N/a		
3639	to investigate	to investigate			Mental acts and states	2010	INVESTIGATE
3640	to investigate/examine	to investigate/examine			Mental acts and states		
3641	to invite	to invite			Interpersonal relations	1611	INVITE
3642	to involve	to involve			Interpersonal relations		
3643	to iron	to iron	to pass an iron over cloth in order to remove creases		N/a	3118	IRON (CLOTHES)
3644	to itch	to itch			Physical processes		
3645	to jeer, to scoff	to jeer, to scoff			N/a		
3646	to join together (tr.)	to join together (tr.)			Physical effect	1743	JOIN
3647	to join, take part	to join, take part			N/a		
3648	to joke	to joke			Speech	2760	MAKE A JOKE
3649	to judge	to judge			Interpersonal relations	1818	ADJUDICATE
3650	to jump into the water	to jump into the water			N/a		
3651	to keep a fire burning	to keep a fire burning	to place (a seed or plant) in soil or other substrate in order that it may live and grow		N/a		
3652	to keep as a domestic animal	to keep as a domestic animal			N/a		
3653	to keep silent	to keep silent			Speech		
3654	to keep the fast	to keep the fast			N/a		
3655	to keep, preserve, retain	to keep, preserve, retain			N/a	1997	PRESERVE
3656	to kick	to kick			Physical effect	1135	KICK
3657	to kick	to kick			Physical effect	1135	KICK
3658	to kill	to kill			Physical effect	1417	KILL
3659	to kiss	to kiss			Physical effect	578	KISS
3660	to knead	to knead			Physical effect	274	KNEAD
3661	to knit	to knit	To make clothes, etc. by using two long needles to connect wool or another type of thread into joined rows (Cambridge Dictionary)		N/a	2905	KNIT
3662	to knock	to knock			Physical processes	2396	KNOCK
3663	to knock down	to knock down			N/a		
3664	to know	to know			Mental acts and states	3626	KNOW
3665	to know how	to know how			Modal	2238	KNOW HOW
3666	to lack	to lack			Abstract relations	2329	LACK (NOT HAVE)
3667	to ladle out (soup)	to ladle out (soup)			N/a		
3668	to land (of plane, bird etc.)	to land (of plane, bird etc.)	to descend to a surface from the air		N/a	1922	LAND (DESCEND)
3669	to last	to last			Phasal	1186	LAST (ENDURE)
3670	to laugh	to laugh			Emotions	1355	LAUGH
3671	to launch a boat	to launch a boat			N/a		
3672	to lead	to lead			Motion	43	LEAD (GUIDE)
3673	to lean on/against	to lean on/against			Physical effect		
3674	to learn, find out	to learn, find out			Mental acts and states	2237	FIND OUT
3675	to learn, study	to learn, study			Mental acts and states	504	LEARN
3676	to leave	to leave			Motion	1752	LEAVE
3677	to leave behind	to leave behind			Motion		
3678	to left untreated (disease)	to left untreated (disease)			N/a		
3679	to lengthen	to lengthen			Physical effect	3700	LENGTHEN
3680	to let	to let			Interpersonal relations	3238	ALLOW
3681	to let go	to let go			Physical effect	1095	LET GO OR SET FREE
3682	to let grow (of beard, moustaches, hairs)	to let grow (of beard, moustaches, hairs)			Physical effect		
3683	to let someone get ahead	to let someone get ahead			N/a		
3684	to let, leave	to let, leave			Physical effect		
3685	to lick	to lick			Physical effect	319	LICK
3686	to lie (posture)	to lie (posture)			Location	1411	LIE (REST)
3687	to lie down	to lie down			Motion	215	LIE DOWN
3688	to lie prostrate, as in reverence	to lie prostrate, as in reverence			N/a		
3689	to light, to kindle (the fire)	to light, to kindle (the fire)			Physical processes	737	LIGHT (IGNITE)
3690	to like	to like			Emotions	1117	LIKE
3691	to line up	to line up			N/a		
3692	to listen	to listen			Perception	1608	LISTEN
3693	to live, be alive	to live, be alive	None		Location	1422	BE ALIVE
3694	to load	to load			Physical effect	3669	LOAD (SOMETHING)
3695	to load (weapon)	to load (weapon)			N/a		
3696	to loaf, do nothing	to loaf, do nothing			Interpersonal relations		
3697	to lock	to lock	to fasten with a lock		N/a		
3698	to look	to look			N/a	1819	LOOK
3699	to look (e.g. well)	to look (e.g. well)			Perception		
3700	to look around	to look around			N/a		
3701	to look asquint	to look asquint			Perception		
3702	to look inside	to look inside			N/a		
3703	to lose	to lose			Possession	1660	LOSE
3704	to lose (an object)	to lose (an object)			N/a	3072	MISPLACE
3705	to lose colour	to lose colour	None		Physical processes		
3706	to lose consciousness	to lose consciousness			Physiologic processes and states		
3707	to lose fertility (of the soil)	to lose fertility (of the soil)			N/a		
3708	to lose hope	to lose hope			N/a		
3709	to lose one's mind	to lose one&#39;s mind			N/a		
3710	to lose one's way	to lose one&#39;s way			Motion		
3711	to lose smell or taste (of liquids)	to lose smell or taste (of liquids)			N/a		
3712	to love	to love			Emotions	923	LOVE
3713	to lower, put down	to lower, put down			Physical effect		
3714	to make	to make			N/a	734	MAKE
3715	to make a bonfire	to make a bonfire			N/a		
3716	to make a hole	to make a hole			Physical effect		
3717	to make a mistake, be wrong	to make a mistake, be wrong	None		Mental acts and states		
3718	to make a move (in a game)	to make a move (in a game)			Motion		
3719	to make a pause	to make a pause			N/a		
3720	to make a telephone call	to make a telephone call			Speech		
3721	to make big, large	to make big, large			Size		
3722	to make black	to make black			Physical effect		
3723	to make blunt	to make blunt	to dull the edge or point of, by making it thicker		N/a		
3724	to make deaf	to make deaf			N/a		
3725	to make disordered	to make disordered			Physical effect		
3726	to make do smth.	to make do smth.			Abstract relations		
3727	to make empty	to make empty			Physical effect		
3728	to make hard	to make hard			Physical effect		
3729	to make noise	to make noise			Physical processes	2895	MAKE NOISE
3730	to make plans	to make plans			N/a		
3731	to make real	to make real	to convert from the imaginary or fictitious into reality; to bring into real existence		N/a		
3732	to make sausage	to make sausage			N/a		
3733	to make sb look at smth	to make sb look at smth			N/a		
3734	to make scratches	to make scratches			Physical effect		
3735	to make sit	to make sit			Physical effect		
3736	to make smb/smth light (of weight)	to make smb/smth light (of weight)			N/a		
3737	to make soft	to make soft	to soften		Abstract entities		
3738	to make stand	to make stand			N/a		
3739	to make white	to make white			N/a		
3740	to make, create	to make, create			Physical effect	734	MAKE
3741	to manage to do smth	to manage to do smth			Modal		
3742	to marry	to marry			Interpersonal relations	203	MARRY
3743	to marry off (a daughter)	to marry off (a daughter)			Interpersonal relations	556	MARRY OFF
3744	to mature	to mature			N/a		
3745	to mean	to mean			N/a		
3746	to measure	to measure			Physical effect	1506	MEASURE
3747	to meet	to meet			Motion	1831	MEET
3748	to meet (each other)	to meet (each other)			Interpersonal relations		
3749	to meet accidentally	to meet accidentally			N/a		
3750	to melt, to thaw	to melt, to thaw			Physical processes	2334	MELT
3751	to menstruate	to menstruate			N/a	2827	MENSTRUATE
3752	to mention	to mention			N/a		
3753	to milk	to milk			Physical effect	93	DRAW MILK
3754	to mill	to mill			Physical effect	1033	GRIND
3755	to miss somebogy, to long for	to miss somebogy, to long for			N/a	2328	MISS (SOMEBODY)
3756	to miss the target	to miss the target			Physical effect	161	MISS (A TARGET)
3757	to misunderstand	to misunderstand			N/a		
3758	to mix, stir	to mix, stir			Physical effect	2017	MIX
3759	to mock	to mock	None		Speech	2760	MAKE A JOKE
3760	to monitor, supervise	to monitor, supervise			N/a		
3761	to moor	to moor	to fix or secure a vessel in a particular place by casting anchor, or by fastening with ropes, cables, chains or the like		N/a		
3762	to mount a horse	to mount a horse	to place oneself on a horse		N/a		
3763	to move	to move			Motion	765	MOVE
3764	to move (intr.)	to move (intr.)			N/a	2874	MOVE (ONESELF)
3765	to move away	to move away			Motion	229	MOVE AWAY
3766	to move down (tr.)	to move down (tr.)			N/a		
3767	to move ears (of animal)	to move ears (of animal)			Motion		
3768	to move quickly	to move quickly			Motion	2220	MOVE QUICKLY
3769	to move smoothly, gently	to move smoothly, gently			Motion		
3770	to move, change residence	to move, change residence			N/a	229	MOVE AWAY
3771	to move, to shift, to transfer	to move, to shift, to transfer			Physical effect		
3772	to mow grass	to mow grass			Physical effect	190	MOW
3773	to multiply	to multiply	to perform multiplication on (a number)		N/a		
3774	to nail	to nail			N/a	3306	NAIL
3775	to name	to name			Interpersonal relations		
3776	to need	to need			N/a	2339	NEED (SOMETHING)
3777	to neigh	to neigh			Physical processes		
3778	to nod	to nod	to incline the head up and down, as to indicate agreement		N/a		
3779	to nomadize	to nomadize			Motion	2221	NOMADIZE
3780	to not believe one's eyes	to not believe one&#39;s eyes			N/a		
3781	to obey	to obey			Interpersonal relations	1635	OBEY
3782	to object	to object			Volition		
3783	to oblige	to oblige			Interpersonal relations		
3784	to observe	to observe			N/a		
3785	to occupy, to conquest (territory)	to occupy, to conquest (territory)			Interpersonal relations		
3786	to offend (tr.)	to offend (tr.)			Emotions	557	OFFEND
3787	to open (tr.)	to open (tr.)			Physical effect	1156	OPEN
3788	to open one's eyes wide	to open one&#39;s eyes wide			N/a		
3789	to open one's mouth	to open one&#39;s mouth			N/a	3437	OPEN (MOUTH)
3790	to oppress	to oppress			Interpersonal relations	401	OPPRESS
3791	to order, command	to order, command			Interpersonal relations	1128	ORDER
3792	to overflow	to overflow			N/a	3130	SPILL (SOMETHING)
3793	to overpass the mountain passage	to overpass the mountain passage	to go over the pass in the mountains		N/a		
3794	to overstep	to overstep	to take a step in which the foot touches ground too far forward		N/a		
3795	to owe, be in debt	to owe, be in debt	to be under obligation to repay the money received		Interpersonal relations	369	OWE
3796	to palpitate	to palpitate			Motion		
3797	to pamper	to pamper			N/a		
3798	to pass (of time)	to pass (of time)			Existence	1951	PASS
3799	to pass by	to pass by			Motion	558	PASS BY
3800	to pasture, shepherd	to pasture, shepherd			Physical effect		
3801	to pay	to pay			Interpersonal relations	718	PAY
3802	to pay attention	to pay attention	to be attentive; to focus one&#39;s attention		N/a		
3803	to pay tax	to pay tax			N/a		
3804	to peck (of a bird)	to peck (of a bird)			Physical effect	3684	PECK
3805	to peel off (about skin)	to peel off (about skin)	to be stripped off, come off the body (about an outer layer of skin)		N/a		
3806	to penetrate, get into	to penetrate, get into			N/a		
3807	to perceive smell	to perceive smell	to sense a smell		Perception	1586	SMELL (PERCEIVE)
3808	to perform	to perform			N/a		
3809	to perform a shamanistic ritual	to perform a shamanistic ritual			N/a		
3810	to persuade	to persuade			N/a	3645	PERSUADE
