ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
1518	岩	いわ	rock	pār̠ai	பாறை	roche	ṣaḫr	yánshí	Fels(en)	caṭān	batu	sakhreh	скала	peña, roca	uwamba, jabali
1519	砂利	じゃり	gravel	caraḷaikkal	சரளைக்கல்	gravier, ballast	ḥaṣāh	shízǐ	Kies, Kiesel	kankar	kerikil	sang-rīzeh	гравий	grava	makokoto, changarawe
1520	宝石	ほうせき	jewel	maṇi	மணி	joyau, bijou,	jawharah	baǒshí	Edelstein, Juwel	jawāhar	permata	gouhar	драгоценный камень	joya	johari, kito
1521	粘土	ねんど	clay	kalimaṇ	கலிமண்	argile	ṭafl	niántǔ	Klei	miṭṭī	tanah liat	gel, khāk	глина	arcilla	udongo wa kinamo
1522	泥	どろ	mud	cakati	சகதி	boue, crotte	waḥl	ní	Schlamm, Schmutz	kīcaṛ	lumpur	gel 	грязь	lodo	matope, udongo
1523	錆	さび	rust	turu	துரு	rouille	ṣada'	xiù	Rost	manḍūr	karat, tahi besi	zang	ржавчина	orín	kutu
1524	塵	ちり	dust	tūci	தூசி	poussière	gubār	chéntu	Staub	kūrā	abu, debu	gard	пыль	polvo	takataka
1525	煤	すす	soot	pucaikkari	புசைக்கரி	suie	suḫām	yānhuī	Russ???	kālikh	djelaga	dūdeh	сажа	hollin	masizi
1526	露	つゆ	dew	pan̠ittuḷi	பனித்துளி	rosée	nadā	lùshuǐ	Tau	ōs	émbun	shabnam	роса	rocío	umande
1527	霜	しも	frost	ur̠aipan̠i	உறைபனி	gelée	ṣaqīʿ	shuāng 	Reif	tuṣār	émbun jang beku	yakh-band	иней	helada	sakitu
1528	湯気	ゆげ	steam/vapor	āvi	ஆவி	vapeur	buḫār	qì, zhēngqì	Dampf, Dunst	bhāp	uap	bakhār	пар 	vapor	mvuke, moshi
1529	地震	じしん	earthquake	nila naṭukkam, pūkampam	நில நடுக்கம், பூகம்பம்	tremblement fe terre	zilzāl	dìzhèn	Erdbeben	bhūkanp	gempa bumi	zelzeleh	землетрясение	terremoto	tetemeko
1530	雪崩	なだれ	snowslip/avalanche	pan̠ippār̠aiccarivu	பனிப்பாறைச்சரிவு	avalanche	inhiyāru t̠t̠alj	xuěbēng	Lawine, Schneerutsch	himsrāo	lungsur saldju	bahman	лавина	alud, avalancha	poromoko la theluji mlimani
1531	洪水	こうずい	flood/inundation	veḷḷam	வேள்ளம்	inondation	fayaḍān	hóngshuǐ	Flut	bāṛh	bandjir	seil	наводнение	inundación	gharika, furu
1532	嵐、暴風	あらし、ぼうふう	storm/tempest	puyal	புயல்	tempête	ʿāṣifah	fēngbào	Sturm	āndhī	topan	tūfān	буря	tormenta, tempestad	dhoruba, tufani
1533	靄	もや	mist	mūṭupan̠i	மூடுபனி	brume, brouillard	sadīm	wù	Nebel	kōhar	kabut	meh	туман	bruma	kunge, kungu
1534	晴れ	はれ	fine weather	nalla kālanilai	நல்ல காலநிலை	beau temps	muʿtadil ṣāfī	qíngtiān	schönes Wetter	acchā maosam	tjuatja baik	havā-ye-sāf	ясная погода	buen tiempo	kuzuri, ucheachea
1535	曇り	くもり	cloudiness/cloudy weather	mēka mūṭṭam	மேக மூட்டம்	temps couvert	ġamām muġayyam	yīntiān	wolkige Wetter	mēghāchanna maosam	hari mendung	abrī	облачность, пасмурность	estar nublado	mawingu, utusitusi
1536	熱	ねつ	heat	veppam	வேப்பம்	chaleur	ḥarārah	rè	Hitze	tāp	panas	garmā, harārat	тепло, жар, жапа	calor	joto, uharara
1537	熱［病気の熱］	ねつ	fever	kāyccal	காய்ச்சல்	fièvre	hummā suḫūnah	shāo	Fieber	jvar	deman	tab	жар, температура	fiebre	homa
1538	三日月	みかづき	new moon/crescent moon	pir̠ainilā	பிறைநிலா	croissant	hilāl	yuèyár	Mondsichel	arddha-candra	bulan sabit	māh-e-nou	молодой месяц	luna nueva	hilali, mwezi mwandamo
1539	満月	まんげつ	full moon	pavrn̠ami	பவ்ர்னமி	pleine lune	badr	yuányuè	Vollmond	pūrṇacandra	bulan purnama	badr	полная луна, полнолуние	luna llena	mwezi mpevu
1540	地球	ちきゅう	earth/globe	pūmi	பூமி	terre, globe	alkuratu l'arḍīyah	dìqiú	Erde, Globus	prithvī	bumi	koreh-e-zamīn	земля	tierra, globo	dunia
1541	陸	りく	land/shore	nilam	நிலம்	terre 	barr	lù, lùdì	Land	bhūmi	darat	zamīn, khoshkī	суша, земля	tierra 	ardhi, nchi kavu
1542	土地	とち	ground/land	tarai	தரை	terre, terrain	arḍ	tǔdì	Grund	bhūmi	tanah  	zamīn	земля, участок земли	tierra	ardhi 
1543	丘	おか	hill	kun̠r̠u	குன்று	colline, coteau	haḍbah, tall	xioǎshān	Hügel	pahārī	bukit	tappeh	холм	cerro, colina	kilima
1544	坂	さか	slope	carivu	சரிவு	pente	munḥadar	shānbō	Abhang, Schräge, Steile	ḍhār	léréng	sarāzīr	склон	cuesta	mtelemko
1545	洞窟、洞穴	どうくつ、ほらあな	cave	kukai	குகை	caverne	kahf	dòng	Höhle, Grotte	khōh	gua	ghār	пещера	cueva	shimo, pango
1546	崖	がけ	precipice/cliff	ceṅkuttān̠a pār̠ai	சேங்குத்தான பாறை	précipice, escarpement, falaise	jurf	shānyá	Klippe	caṭān	tebing	partgāh	пропасть, обрыв	precipicio, acantilado	genge
1547	小川	おがわ	stream/brook	cir̠r̠ār̠u	சிற்றாறு	ruisseau	nuhayr	xiǎohé	Bach	nālā	anak sungai	jūy	ручей, речка	arroyo	kijito
1548	急流	きゅうりゅう	torrent	vēkamāna nīrōṭṭam	வேகமாந நீரோட்டம்	torrent	tayyār	jíliú	Giessbach???	dhārā	arus deras	seilāb	быстрое течение	torrente	mfo
1549	温泉	おんせん	hotspring	vennīr ūr̠r̠u	வேந்நீர் ஊற்று	eaux thermales	ḥammām maʿdinī	wēnquán	heisse??? Quelle	garm srōt	mata air panas	chashmeh-e-garm	горячий минеральный источник	termas	chemchemi yenye maji moto
1550	オアシス	オアシス	oasis	pālavan̠accōlai	பாலவனச்சோலை	oasis	wāḥah	lǚzhōu	Oase	marudvīp	oase	vāheh	оазис	oasis	kituo chenye chemcheni katika jangwa
1551	滝	たき	waterfall	aruvi	அருவி	cascade, chute d'eau	šallāl	pùbù	Wasserfall	jalprapāt	air terdjun	ābshār	водопад	cascada	maporomoko ya maji
1552	水溜り	みずたまり	pool	kuṭṭai	குட்டை	flaque d'eau	ḥawḍ, birkah	shuǐtáng	Pfütze	tālāb	genangan air	houz	лужа	charco	kiziwa, kidimbwi, dimbwi
1553	沼	ぬま	swamp	catuppu nilam	சதுப்பு நிலம்	marais, mare	mustanqiʿ 'arḍun ġamiqah	zhàozé	Sumpf	daldal	rawa, paja	bātlāq	болото	laguna	bwawa
1554	浜、浜辺	はま、はまべ	beach	kaṭarkarai	கடர்கரை	plage	šāṭi'	hǎibiān	Strand	samudra-taṭ	pesisir	sāhel	взморье, пляж	playa	pwani, ukingo
1555	海岸	かいがん	seaside/shore	kaṭarkaraippiratēsam	கடர்கரைப்பிரதேஸம்	côte, plage	šāṭi'u lbaḥr	hǎi'àn	Küste	samudra-taṭ	pantai	kenār-e-daryā	морской берег, морское	costa	pwani 
1556	砂漠	さばく	desert	pālaivan̠am	பாலைவனம்	désert	ṣaḥrā', bādiyah	shāmò	Wüste	marubhūmi	padang pasir	dasht, bīabān	пустыня	desierto	jangwa
1557	生物	せいぶつ	living thing/creature	jantu	ஜந்து	être vivant	maḫlūq	shēngwù	Lebewesen, Geschöpf	jīojantu	machluk	jānvar	живое существо	viviente	kiumbe chenye uhai
1558	植物	しょくぶつ	plant	tāvaram	தாவரம்	plante	nabāt	zhíwù	Pflanze	vanaspati	tumbuh-tumbuhan	nabāt	растение	planta	mmea
1559	黴	かび	mold	pūcaṇam	பூசணம்	moisi	ʿafan	méijūn	Schimmel, Moder	phaphūndī	lapuk	kaprak	плесень	moho	kawa, ukungu
1560	薩摩芋	さつまいも	sweet potato	carkkaraikkil̠aṅku	சர்க்கரைக்கிழங்கு	patate	baṭāṭas ḥulw	gānshǔ, báishǔ	Süsskartoffell	mīṭhā ālū	ubi djalar	patātā	сладкий картофель, батат	batata	viazi, viazi vitamu
1561	バナナ	バナナ	banana	vāl̠aippal̠am	வாழைப்பழம்	banane	mawz	xiāngjiāo	Banane	kēlā	pisang	mouz	банан	banana, plátano	ndizi
1562	玉蜀黍	とうもろこし	maize	cōḷam	சோளம்	maïs	d̠urah nīlīyah, d̠urah	yùshǔshǔ, yùmǐ	Mais	bhuṭṭā	djangung	zorrat	кукуруза	maiz	mahindi
1563	竹	たけ	bamboo	mūṅkil	மூங்கில்	bambou	ḫayzurān	zhúz	Bambus	bāns	bambu	kheizarān	бамбук	bambú	mwanzi
1564	杉	すぎ	cedar	--	--	cryptoméria, cèdre	sidr yābānī	shāmu	japanische Zeder	cīṛh	sedjenis pohon sédar	sarv	криптомерия	cedro	mtaragwa, mwerezi
1565	松	まつ	pine	tēvatāru	தேவதாரு	pin	ṣanawbar	sōngshù	Kiefer	dēodār	tjemara	kāj	сосна	pino	msunobari
1566	苔	こけ	moss	pāci	பாசி	mousse	ṭuḥlub	taíxiǎn	Moos	kāī	lumut	khazeh	мох	musgo	majani madogodogo laini
1567	茸	きのこ	mushroom	kāḷān̠	காளான்	champignon	fuṭr	yángmógu	Pilz	chatrak	tjendawan	qārch	гриб	hongo	uyoga, kiyoga
1568	芽	め	sprout/germ	kirumi	கிருமி	bougeon	nabtah	yár	Keim	kōnpal	tunas	javāneh	бутон, почка	brote	kichipuko
1569	蔓	つる	vine/tendril	tirāṭcaikkoṭi/koṭiccuruḷ	திராட்சைக்கோடி/கோடிச்சுருள்	sarment, vrille	silk nabātī, ʿanam	juǎnxū	Ranke	latā	sulur	pīchak	лоза	sarmiento	mzabibu
1570	蕾	つぼみ	bud	moṭṭu	மோட்டு	bouton (de fleur)	burʿum	gūduor	Knospe	kalikā	kuntum	ghoncheh	бутон 	botón	tumba
1571	穂	ほ	ear/head	talai	தலை	épi 	sunbulah	suì	Ähre	bāl 	bulir	khūsheh	колос	espiga	masuke
1572	刺	とげ	thorn	muḷ	முள்	épine	šawkah  	cìr	Dorn	kānṭā	duri	khār	шип, заноза	espina	mwiba
1573	家畜	かちく	cattle	āṭumāṭukaḷ	ஆடுமாடுகள்	bétail	mawāšī	shēngkǒu	Vieh	gharū pashu	ternak	galleh	домашний скот	ganado	wanyama wa kufuga
1574	虎	とら	tiger	puli	புலி	tigre	babr	lǎohu	Tiger	bāgh	harimau	babr	тигр	tigre	mnyama mkali wa Kihindi
1575	獅子	ライオン、しし	lion	siṅgam	ஸிங்ம்	lion	asad	shīz	Löwe	sinh	singa	shīr	лев	león	simba
1576	豹	ひょう	leopard	cir̠uttai	சிறுத்தை	panthère	nimr	bàoz	Leopard	cītā	matjan tutul	palang	леопард	leopardo	chui
1577	狼	おおかみ	wolf	ōnāy	ஓநாய்	loup	d̠i'b	láng	Wolf	bhēṛiyā	serigala	gorg	волк	lobo	mbwa wa mwituni
1578	狸	たぬき	budger/racoon dog	--	--	blaireau	ġurayr ġurayrā'	líz	Dachs	shrigāl	sedjenis tjerpelai	khersak	барсук	tejón	 --
1579	狐	きつね	fox	nari	நரி	renard	t̠aʿlab	húli	Fuchs	lōmṛī	rubah	rūbāh	лиса	zorra	mnyama kama mbweha
1580	熊	くま	bear	karaṭi	கரடி	ours	dubb	xióng	Bär	rīch	beruang	khers	медведь	oso	dubu
1581	鯨	くじら	whale	timiṅkalam	திமிங்கலம்	baleine	ḥūt	jīngyú	Walfisch	timingil	ikan paus	bāl 	кит	ballena	nyangumi
1582	山羊	やぎ	goat	veḷḷāṭu	வேள்ளாடு	chèvre, bouc	maʿz	shānyáng	Ziege	bakrā	kambing	boz	коза, козёл	cabra	mbuzi
1583	鹿	しか	deer	mān̠	மான்	cerf, biche	ẓaby	lù	Hirsch	hariṇ	rusa	gūzan	олень	ciervo	mnyama kama swala
1584	羚羊	かもしか	antelope	mān̠	மான்	gazelle, antilope	ġazāl	língyáng	Antilope	mriga	sedjenis kidjang	āhū	серна, антилопа	gacel	kulunga
1585	驢馬	ろば	donkey	kal̠utai	கழுதை	âne(sse)	ḥimār	lu	Esel	gadhā	keledai	khar	осёл	burro, asno	punda
1586	駱駝	らくだ	camel	oṭṭakam	ஓட்டகம்	chameau, dromadaire	jamal	luòtuo	Kamel	ūnṭ	unta	shotr	верблюд	camello	ngamia
1587	象	ぞう	elephant	yān̠ai	யானை	éléphant	fīl	xiàng 	Elefant	hāthī	gadjah	pīl	слон	elefante	tembo, ndovu
1588	雄鶏	おんどり	cock	cēval	சேவல்	coq	dīk	gōngjī	Hahn	murgā	ajam djantan	khorūs	петух	gallo	jogoo, jimbi
1589	雌鶏	めんどり	hen	kōḷi	கோளி	poule	dajājah	mǔjī	Henne	murgī	ajam betina	morgh	курица	gallina	kuku
1590	雛	ひな	chicken	kōḷikkuñcu	கோளிக்குஞ்சு	poussin	farrūj	xiăoniăor	Hühnchen	murgī ka??? baccā	anak burung	jūjeh	цыплёнок	pollo	kifaranga cha kuku
1591	ひよこ	ひよこ	chick	kōḷikkuñcu	கோளிக்குஞ்சு	poulet	farḫ	xiǎojīr	Küken	murgī ka??? baccā	anak ajam	jūjeh	цыплёнок	polluelo	kifaranga cha kuku
1592	雀	すずめ	sparrow	kuruvi	குருவி	moineau	ʿuṣfūr	máquè	Sperhng???	gaoraiyā	burung gerédja	gonjeshk	воробей	gorrión	shomoro???
1593	家鴨	あひる	duck	vāttu	வாத்து	canard	baṭṭah, baṭṭ	jiāyā	Hausente	kalhans	itik	ordak	ломашняя утка	pato	bata
1594	亀	かめ	tortoise	āmai	ஆமை	tortue	salfaḥāh	wūguī	Schildkröte	kachua	kura-kura	sang posht	черепаха	tortuga	kobe, kasa
1595	蜥蜴	とかげ	lizard	palli	பல்லி	lézard	ʿiẓāyah	xīyí	Eidechse	babhnī	kadal	bozmajjeh	ящерица	lagarto	kenge, mjusi
1596	蛙	かえる	frog	tavaḷai	தவளை	grenouille	ḍifdaʿ	qīngwā	Frosch	mēḍhak	katak	qōrbāgheh	лягушка	rana	chura
1597	蚕	かいこ	silkworm	paṭṭuppul̠u	பட்டுப்புழு	ver à soie	dūdatu lqazz	cán	Seidenwurm, Seidenraupe	rēsham ka??? kīṛā	ulat sutera	kerm-e-abrīsham	шелковичный червь	gusano de seda	mdudu mfanyiza nyuzi za hariri
1598	毛虫	けむし	caterpillar	kampaḷippūcci	கம்பளிப்பூச்சி	chenille	usrūʿ	máomaochóng	Raupe	kīṛā	ulat  	kerm-e-derakht	гусеница	oruga	kiwavi
1599	繭	まゆ	cocoon	kōkōceṭivitai	கோகோசேடிவிதை	cocon	šarnaqah	jiǎnz	Kokon	rēsham ka kōvā	kepompong	pīleh	кокон	capullo	kifukofuko
1600	蝶々	ちょうちょう	butterfly	vaṇṇāttippūcci	வண்ணாத்திப்பூச்சி	papillon	farāšah	húdié	Schmetterling	titlī	kupu-kupu	parvāneh	бабочка	mariposa	kipepeo 
1601	蛾	が	moth	antippūcci	அந்திப்பூச்சி	papillon de nuit	ʿut̠t̠ah	ěz	Motte	phatingā	rama-rama	parvāneh	ночная бабочка	polilla	nondo
1602	蜂、蜜蜂	はち、みつばち	bee/honeybee	tēn̠ī	தேனீ	abeille, mouche à miel	naḥl	fēng, mìfēng	Biene, Honigbiene	madhumakkhī	lebah, tawon	zanbūr, zanbūr-e-(asal	оса, пчела	abeja	nyuki
1603	蜘蛛	くも	spider	cilanti	சிலந்தி	araignée	ʿankabūt	zhīzhū	Spinne	makṛā	labah-labah	(ankabūt	паук	araña	buibui
1604	黴菌	ばいきん	bacteria	nuṇṇuyir	நுண்ணுயிர்	microbe, bactérie	baktīriyā	xìjūn	Bakterie	jīvāṇu	kuman	mīkrōb	бактерия, микроб	bacteria	viini vya ugonjwa
1605	死体	したい	corpse	piṇam	பிணம்	cadavre, corps	jut̠t̠ah	shītǐ	Leiche	mritak sharīr	majat	lāsh	труп	cadáver	maiti, mzozo
1606	跣足	はだし	barefooted	ver̠umkāl	வேறும்கால்	pieds nus	ḥāfi lqadam	guāngjiǎo	barfüssig???	nangē pāno	kaki telandjang	pā-ye-berahneh	босые ноги, босой	pies descalzos	miguu mitupu
1607	目玉	めだま	eyeball	kaṇvil̠i	கண்விழி	globe oculaire	muqlah, kuratu lʿayn	yǎnzhūr	Augapfel	ānkh ki putlī	anak mata, bidji mata	tokhm-e-chashm	глазное яблоко	globo del ojo	jicho
1608	瞳	ひとみ	pupil	kaṇmaṇi	கண்மணி	pupille	bu'bu'u lʿayn	tóngrénr	Pupille	ānkh ki putlī	orang-orangan mata	mardmak	зрачок	pupila	mboni ya jicho
1609	瞼	まぶた	eyelid	imai	இமை	paupière	jafnu lʿayn	yǎnpír	Lid	palak	pelupuk mata	pelk	веко	párpado	kikope
1610	鼻孔	びこう	nostril	nācīttuvāram	நாசீத்துவாரம்	narine	manḫar	bíkǒng	Nasenloch	nathnā	lobang hidung	sūrākh-e-bīnī	ноздря	ventana de la nariz	tundu la pua
1611	耳朶	みみたぶ	ear-lobe	--	--	lobe de l'oreille	šaḥmah	ěrchuí	Ohrläppchen	kān 	daun telinga	narmeh	мочка уха	lóbulo	ndewe
1612	黒子	ほくろ	mole	maccam	மச்சம்	grain de beauté	šāmah	hēizhì	Muttermal	til	tahi lalat	khāl	родинка	lunar	kiwaa cha sura
1613	乳首	ちくび	teat/nipple	kāmpu	காம்பு	mamelon, tétin	ḥalamah	nǎitóu	Brustwarze	cūncī	mata susu	nūk-e-pestān	сосок	pezón	titi, ziwa
1614	胴	どう	trunk	muṇṭam	முண்டம்	corps	jism, badan	qūgàn	Rumpf	dhaṛ	badan	tan	корпус, туловище	talle	kiwiliwili
1615	手足	てあし	limb	aṅkam	அங்கம்	membres	ʿuḍw	shǒujiǎo	Glieder	ang	anggauta badan	andām( (ozv	руки и ноги, члены	miembros	maungo
1616	手首	てくび	wrist	maṇikkaṭṭu	மணிக்கட்டு	poignet	miʿṣam	shǒuwànz	Handgelenk	kalāī	pergelangan	moch	запястье	muñeca	kifundo cha mkono
1617	手の甲	てのこう	back (of the hand)	pur̠aṅkai	புறங்கை	dos de la main	mušṭu lyad	shǒubèi	Handrücken	hāth ka pichlā bhāg	punggung tangan	posht-e-dast	тыльная сторона руки	dorso (de la mano)	konzi, kingaja
1618	股	また	crotch/coxa	kavaṭṭai	கவட்டை	cuisse	wasaṭ	kuàgǔ	Leiste	jāngh	kelangkang	keshāleh-ye-rān	бедро	muslo	msamba, kitako kati ya miguu
1619	腿	もも	thigh	toṭai	தோடை	cuisse	faḫd̠	dàtuǐ	Oberschenkel	ūru	paha	rān	бедро, ляжка	muslo	paja
1620	脛	すね	shank/shin/leg	keṇṭaikkāl/kāl	கேண்டைக்கால்/கால்	jambe	sāq	xiǎotuǐ	Unterschenkel	pindṛa	kaki bawah	sāq	голень	pierna	muundi wa mguu
1621	腓	ふくらはぎ	calf	pin̠kāl cataippakuti	பின்கால் சதைப்பகுதி	mollet	ḥamāh, baṭṭah	tuǐdùz	Wade	pēnḍurī	betis	narmeh-e-sāq	икра	pantorrilla	shavu la mguu
1622	足首	あしくび	ankle	kaṇukkāl	கணுக்கால்	cheville	kaʿb, kāḥil	jiǎobóz	Knöchel	ṭakhnā	pergelangan kaki	qūzak	щиколка, лодыжка	garganta del pie	kifundi cha mguu
1623	踵	かかと	heel	kutikāl	குதிகால்	talon	ʿaqib	jiǎohòugēn	Ferse	ēri	tumit	pāshneh	пятка	tacón	kisigino cha mguu
1624	踝	くるぶし	ankle	kaṇukkāl	கணுக்கால்	cheville	kaʿb, kāḥil	huáizigǔ	Knöchel	ṭakhnā	mata kaki	qūzak	лодыжка, щиколка	tobillo	kifundo cha mguu
1625	関節	かんせつ	joint	mūṭṭu	மூட்டு	joint	ʿuqdah	guānjié	Gelenk	jōṛ	sendi tulang	mafsel	сустав	coyuntura	kiungo
1626	親指	おやゆび	thumb	peru viral	பேரு விரல்	pouce	ibhām	dàmúzhǐ	Daume	angūṭhā	ibu djari	shast	большой палец	(dedo) pulgar	kidole gumba
1627	人差し指	ひとさしゆび	forefinger	āl̠ kāṭṭI viral	ஆழ் காட்டிஂ விரல்	index	sabbābah	shízhǐ	Zeigefinger	tarjanī	telundjuk	angosht-e-neshān	указательный палец	(dedo) índice	kidole cha shahada
1628	中指	なかゆび	middle finger	naṭu viral	நடு விரல்	doigt du milieu, médius	wusṭā	zhōngzhǐ	Mittelfinger	madhyamā	djari hantu	angosht-e-miyāneh	средний палец	(dedo) cordial	kidole cha kati
1629	薬指	くすりゆび	ring finger	mōtira viral	மோதிர விரல்	doigt annulaire	binṣir	wúmíngzhǐ	Ringfinger	anāmikā	djari manis	angosht-e-halqeh	безымянный палец	(dedo) anular	kidole ｃｈａ kati ya kando
1630	小指	こゆび	little finger	cir̠u viral	சிறு விரல்	auriculaire, petit doigt	ḫinṣir	xiǎozhǐ	Kleinfinger	kaniṣṭhikā	djari kelingking	angosht-e-kūchak	мизинец	(dedo) meñique	kidole cha mwisho
1631	鰭	ひれ	fin	mīn̠ tuṭuppu	மீன் துடுப்பு	nageoire	ʿawwām	qí	Flosse	pankh	sirip	parreh-e-māhī	плавник	aleta	pezi
1632	神経	しんけい	nerve	narampu	நரம்பு	nerf	aʿsāb	shénjīng	Nerv	snāyu	saraf	a(sāb	нерв	nervio	mshipa, neva
1633	鰓	えら	gills	mīn̠ cevuḷ	மீன் சேவுள்	branchies	ḫayšūm	yúsāi	Kieme	galphaṛa	insang	gūsh-e-māhī	жабры	agallas	shavu la samaki
1634	血管	けっかん	vein	rattakkul̠āy	ரத்தக்குழாய்	veine	ʿirq	xuèguǎn	Blutgefäss???, Ader	nalī	pembuluh darah, urat	rag	кровеносный сосуд,???	vena	mshipa, vena
1635	睾丸	こうがん	testicle	vitai	விதை	testicul	ḫuṣyah, bayḍah	gāowán	Hode, Hoden	anḍkōsh	buah pelir, kontol	khāyeh	яичко	testiculo	pumbu
1636	鱗	うろこ	scale	cetiḷ	சேதிள்	écaille	ḥaršafah, fulūs	yúlín	Schuppe	cōīn	sisik	pūlak, fals	чешуя	escama	gamba
1637	睫	まつげ	eyelash	kaṇmayir	கண்மயிர்	cil	rumūš lʿayn	yǎnjiémáo	Wimper	baraonī	bulu mata	mozheh	ресницы	pestaña	ukope, kope
1638	口髭	くちひげ	moustache	mīcai	மீசை	moustache	šārib	húz	Schnurrbart	mūnch	kumis	sabīl	усы	bigote	mashurubu
1639	鬚	あごひげ	beard	tāṭi	தாடி	barbe	liḥyah	xū	Kinnbart	dāṛhī	djanggut	rīsh	борода	barba	ndevu
1640	鬣	たてがみ	mane	piṭarimayir	பிடரிமயிர்	crinière	ʿurf	zōngmáo	Mähne	ayāl	surai	yāl	грива	crín	manyoya ya shingoni
1641	頭蓋骨	ずがいこつ	skull	maṇṭaiyōṭu	மண்டையோடு	crâne	jumjumah	lúgǔ	Schädel	kapāl	tengkorak	jomjomeh	череп 	cráneo	fuvu la kichwa
1642	肋骨、肋骨	ろっこつ、あばらぼね	rib	vilā	விலா	côte	ḍilʿ	lèigǔ	Rippe	rīṛh	tulang rusuk	dandeh	ребра	costilla	ubavu, bavu
1643	象牙	ぞうげ	ivory	tantam	தந்தம்	ivoire	ʿāj	xiàngyá	Elfenbein	hāthī-dānt	gading	(āj	слоновая кость	marfil	pembe ya ndovu
1644	蹄	ひづめ	hoof	kuḷampu	குளம்பு	sabot	ḥāfir	tíz	Huf	khur	kuku kuda	som	копыто	pezuña	ukwato
1645	鼻水、鼻汁	はなみず、はなじる	nasal mucus/snivel	caḷi	சளி	morve, roupie	muḫāṭ	bítì	Nasenschleim, Rotz	nāk	ingus	āb-e-bīnī	сопли	moquita	makamasi
1646	涎	よだれ	slaver/saliva	eccil	ஏச்சில்	bave, salive	rīq, luʿāb	kǒushuǐ	Geifer, Schpeichel	lār	air liur	bozāq	слюни	baba	udelele
1647	痰	たん	phlegm	kapam, kōl̠ai	கபம், கோழை	crachat	balġam	tán	Schleim	kaph	dahak	balgham	мокрота	flema	kohozi, gole
1648	屁	へ、おなら	fart	kucu	குசு	pet	ḍurāṭ, fusā'	pì	Blähung, Furz	hawā 	kentut	gūz 	газы	peer	shuzi, mashuzi
1649	雲脂	ふけ	dandruff	poṭuku	போடுகு	pellicules	hibriyah	tóupí	Kopfschorf	rūsī	tahi rambut, betumbé	shūreh-e-sar	перхоть	caspa	mba
1650	死	し	death	cāvu	சாவு	mort	mawt, wafā'	sǐ	Tod	mrityu	mati	marg	смерть	muerte	kifo, mauti
1651	自殺	じさつ	(commit) suicide	tar̠kolai	தற்கோலை	suicide	intiḥār	zìshā	Selbstmord	ātmahatyā	pembunuhan diri	khud-koshī	самоубийство	suicidio	kujiua, kujifisha makusudi
1652	鼾	いびき	snoring/snore	kur̠aṭṭai	குறட்டை	ronflement	ġaṭīṭ, šaḫīr	dahūlu	Schnarchen	gharrāṭā	dengkur	khornās	храп	ronquído	koromo, mkoromo
1653	脈、脈搏	みゃく、みゃくはく	pulse	nāṭi	நாடி	pouls, pulsation	nabḍ	mài, màibó	Puls	nāṛī	denjut nadi	nabz	пульс	pulso	kipigo cha mshipa wa damu
1654	妊娠	にんしん	pregnancy/conception	karppam	கர்ப்பம்	conception	ḥaml	huáiyùn	Schwangerschaft	garbhāwasthā	hamil	ābestanī	беременность	preñez	mimba, mjaa mzito
1655	健康	けんこう	health	cukātāram	சுகாதாரம்	santé	ṣiḥḥah	jiànkāng	Gesundheit	swāsthya	séhat	tandorostī	здоровье	salud	afya
1656	禿	はげ	baldness	val̠ukkai	வழுக்கை	calvitie, crâne chauve	ṣalaʿ, qaraʿ	tūtóu	Glatze	ganjā	botak	tāsī	плешь, лысина	calvicie	para
1657	風邪	かぜ	cold	caḷi	சளி	rhume, froid	bard	gǎnmào, shāngfēng	Erkältung	jukām	masuk angin	sarmā	простуда, грипп	resfriado	mafua
1658	下痢	げり	diarrhoea	pēti	பேதி	diarrhée	ishāl	xièdù	Diarrhöe	atisār	tjirit, sakit bérak-bérak	eshāl	понос	diarrea	harisho, tumbo la kuendesha
1659	頭痛	ずつう	headache	talaivali	தலைவலி	mal de tête	ṣudāʿ	tóutòng	Kopfschmerzen	sir kī??? pīṛā	sakit kepala	sar dard	головная боль	dolor de cabeza	maumivu ya kichwa
1660	吃り	どもり	stammering	tikkuvāy	திக்குவாய்	begaiement	mutalajlaj	kǒuchī	Stotterei	hakhāhaṭ	orang gagap	loknat	заикание	tartamudeo	kigugumizi
1661	瘤	こぶ	wen/lump	kaṭṭi	கட்டி	bosse	silʿah	liúz	Beule	ubhār	bonggol	ghoddeh	шиска, нарост	hinchazón	nundu
1662	属する	ぞくする	belong to (V)	cērntiru	சேர்ந்திரு	appartenir à	intamā 'ilā, tabiʿa	shǔyú	gehören	～ ke adhikār men hōnā	termasuk	mota(alleq būdan	принадлежать	pertenecer	husu, ni mali ya
1663	従う	したがう	obey/follow (V)	kīl̠ppaṭi	கீழ்ப்படி	suivre, obéir	ašbaha, tabiʿa	tīngcóng, gēnsuí	folgen, gehorchen	pīchā karnā	ikut, menurut	ete(at kardan	слушаться, следовать	obedecer, seguir	tii, fuata
1664	似る	にる	resemble/like (V)	pōlairu	போலைரு	ressembler	aṣbaḥa, māt̠ala	xiāngsì	ähneln	ke sadrisha hōnā	menjerupai, mirip	shabāhat dāshtan	похожий	parecerse	fanana
