NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
0766	husk (corn) (v)	décortiquer (maïs)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0767	domesticate, tame	domestiquer, apprivoiser			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0768	herd (cattle, sheep) (n)	troupeau (boeufs, moutons)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0769	herd, tend (cattle, sheep) (v)	mener, conduire (troupeau)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0770	cattle pen	enclos (de bétail)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0771	tether (sheep, goats) (v)	attacher (moutons, chèvres)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0772	feed (animals)	donner à manger (aux animaux)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0773	milk (cows, goats) (v)	traire (vaches, chèvres)			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0774	castrate	châtrer, castrer			5	8	3	HUMAN CIVILISATION	AGRICULTURE	Animal husbandry
0775	hunt (v)	chasser			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0776	stalk (v)	traquer			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0777	chase (v)	poursuivre, faire la chasse			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0778	track (animal) (n)	trace (des pas d'animal)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0779	footprint (human)	empreinte (de pied d'homme)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0780	bow (hunting)	arc (de chasse)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0781	arrow	flèche	20.25	the arrow	5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0782	poison (on arrow)	poison (sur une flèche)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0783	head of arrow	fer, pointe (de flèche)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0784	quiver (n)	carquois			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0785	lance (spear) (n)	lance (javelot)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0786	knife	couteau			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0787	throwing stick (n), throwing knife	couteau de jet			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0788	club, cudgel	massue			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0789	hunting net	filet de chasse			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0790	birdlime (adhesive to catch birds)	glu (pour prendre les oiseaux)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0791	trap (n)	piège			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0792	set (trap)	tendre (un piège)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0793	trap (animal) (v)	prendre au piège			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0794	evade	esquiver, éviter			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0795	escape	échapper, s'évader			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0796	wound (animal)	blesser (un animal)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0797	slaughter, kill (animal for butchering)	égorger, abattre (un animal)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0798	skin (animal) (v)	écorcher (peau d'animal)			5	9	1	HUMAN CIVILISATION	HUNTING AND FISHING	Hunting
0799	fish (v)	pêcher, aller à la pêche			5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0800	fish dam	barrage de poissons			5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0801	fish trap	nasse	20.55	the fish trap	5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0802	fishing net	filet de pêche, "épervier"			5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0803	fishing line	ligne de pêche	20.53	the fishing line	5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0804	fishhook	hameçon	20.52	the fishhook	5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0805	bait	appât	20.56	the bait	5	9	2	HUMAN CIVILISATION	HUNTING AND FISHING	Fishing
0806	have, possess	avoir, posséder			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0807	need (v)	avoir besoin			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0808	get, obtain	obtenir, recevoir			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0809	give	donner	11.21	to give	5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0810	return (tr), give back	rendre, renvoyer			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0811	belongings	biens, possessions			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0812	owner	propriétaire			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0813	rich man	(un) riche			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0814	poor man	(un) pauvre			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0815	(be) rich	(être) riche			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0816	(be) poor	(être) pauvre			5	10	1	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Possessions
0817	money	argent, monnaie	11.43	the money	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0818	cowrie shell	cauris			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0819	barter, exchange (of goods)	échange (des marchandises)			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0820	buy	acheter	11.81	to buy	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0821	sell	vendre	11.82	to sell	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0822	(be) scarce	(être) peu abondant, rare			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0823	(be) expensive	(être) cher, coûteux			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0824	(be) inexpensive	(être) bon marché, "moins cher"			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0825	price	prix	11.87	the price	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0826	haggle, negotiate a price	marchander, débattre le prix			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0827	payment	paiement, versement			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0828	pay (for goods, services, etc.)	payer (les marchandises, les services)			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0829	gift	cadeau, don			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0830	hire (v)	louer, embaucher			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0831	beg (for money)	mendier			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0832	borrow	emprunter	11.62	to borrow	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0833	lend	prêter	11.61	to lend	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0834	debt	dette	11.64	the debt	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0835	offer (v)	offrir			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0836	accept, receive	accepter, recevoir			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0837	refuse	refuser	18.37	to refuse	5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0838	tax (n)	taxe			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0839	tribute	tribute			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0840	inheritance	héritage			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0841	inherit	héritier			5	10	2	HUMAN CIVILISATION	POSSESSIONS AND COMMERCE	Money exchange, finances
0842	journey, trip (n)	voyage			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0843	travel, go on a trip (v)	voyager			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0844	traveler	voyageur			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0845	wander	errer			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0846	(be) lost	(être) perdu, égaré			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0847	path, road	chemin, route			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0848	fork (in path)	bifurcation, embranchement (de la route)			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0849	crossroads, intersection	carrefour			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0850	cross (river)	traverser (un rivière)			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0851	canoe	pirogue, cano‘	10.831	the canoe	5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0852	paddle (n)	pagaie			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0853	paddle (v)	pagayer			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0854	bale out (canoe, boat)	écoper (pirogue, bateau)			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0855	capsize	se renverser, chavirer			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0856	bring	apporter, amener	10.62	to bring	5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0857	take (away), carry away	emporter, emmener			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0858	send (something to someone)	envoyer (qqch à qqn)			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0859	carry (in arms)	porter dans les bras			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0860	carry (child) on back	porter (enfant) sur le dos			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0861	carry on head	porter sur la tête	10.614	to carry on head	5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0862	headpad	coussin de tête			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0863	load, burden (n)	charge, fardeau			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0864	load (v)	charger			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0865	unload	décharger			5	11		HUMAN CIVILISATION	TRAVEL AND TRANSPORTATION	
0866	war	guerre			5	12		HUMAN CIVILISATION	WAR	
0867	peace	paix	20.14	the peace	5	12		HUMAN CIVILISATION	WAR	
0868	army	armée	20.15	the army	5	12		HUMAN CIVILISATION	WAR	
0869	spy (n)	espion			5	12		HUMAN CIVILISATION	WAR	
0870	spy (v), spy on	espionner			5	12		HUMAN CIVILISATION	WAR	
0871	sword	épée	20.27	the sword	5	12		HUMAN CIVILISATION	WAR	
0872	gun	fusil	20.28	the gun	5	12		HUMAN CIVILISATION	WAR	
0873	shield (n)	bouclier			5	12		HUMAN CIVILISATION	WAR	
0874	conquer, defeat	vaincre			5	12		HUMAN CIVILISATION	WAR	
0875	(be) defeated	(être) vaincu, battu, défait			5	12		HUMAN CIVILISATION	WAR	
0876	prisoner, captive	prisonnier, captif			5	12		HUMAN CIVILISATION	WAR	
0877	plunder (a town)	piller (un village)			5	12		HUMAN CIVILISATION	WAR	
0878	music	musique	23.63	the music	5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0879	song	chant, chanson	23.64	the song	5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0880	sing	chanter	18.12	to sing	5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0881	hum (v)	fredonner, chantonner			5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0882	whistle (v)	siffler			5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0883	dance (n)	danse (n)			5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0884	dance (v)	danser			5	13	1	HUMAN CIVILISATION	ARTS AND LEISURE	Music and dance
0885	big(gest) drum	grand tambour			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0886	small(est) drum	petit tambour			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0887	talking drum	tambour qui parle			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0888	hour glass drum	tambour en forme de sablier			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0889	flute	flute	18.71	the flute	5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0890	harp	harpe, cithère			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0891	balafon	balafon			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0892	horn (musical instrument)	cor (instrument de musique)			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0893	shell (musical instrument)	coquille (instrument de musique)			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0894	rattle (musical instrument)	hochet (instrument de musique)			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0895	play instrument	jouer (d'un instrument)			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0896	blow (horn)	souffler dans (un cor)			5	13	2	HUMAN CIVILISATION	ARTS AND LEISURE	Musical instruments
0897	draw (picture)	dessiner			5	13	3	HUMAN CIVILISATION	ARTS AND LEISURE	Arts
0898	decorate	décorer			5	13	3	HUMAN CIVILISATION	ARTS AND LEISURE	Arts
0899	carve	tailler	9.81	to carve	5	13	3	HUMAN CIVILISATION	ARTS AND LEISURE	Arts
0900	play (child) (intr)	jouer, s'amuser			5	13	4	HUMAN CIVILISATION	ARTS AND LEISURE	Leisure
0901	game	jeu			5	13	4	HUMAN CIVILISATION	ARTS AND LEISURE	Leisure
0902	tobacco pipe	pipe à tabac			5	13	4	HUMAN CIVILISATION	ARTS AND LEISURE	Leisure
0903	pipe-stem	tuyau (de pipe)			5	13	4	HUMAN CIVILISATION	ARTS AND LEISURE	Leisure
0904	tobacco	tabac	8.68	the tobacco	5	13	4	HUMAN CIVILISATION	ARTS AND LEISURE	Leisure
0905	awe, reverence (for God)	crainte révérentielle, vénération			5	14		HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	
0906	God (supreme being)	Dieu (être suprême)			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0907	god (lesser), fetish (spirit)	dieu, fétiche (esprit)			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0908	demon, evil spirit	démon, esprit mauvais			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0909	ghost (visible apparition)	spectre (apparition visible)			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0910	soul, spirit (of living person)	âme, esprit			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0911	spirit (of dead person) (invisible)	esprit (invisible) d'un défunt			5	14	1	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Supernatural beings
0912	pray	prier	22.17	to pray	5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0913	blessing	bénédiction			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0914	divine, prophesy (v)	présager, prophétiser			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0915	prophecy (n)	prophétie			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0916	vision (supernatural)	vision (surnaturelle)			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0917	omen	augure, presage	22.47	the omen	5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0918	witchcraft	sorcellerie			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0919	bewitch, cast spell	ensorceler			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0920	curse (v)	maudire			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0921	curse (n)	malédiction			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0922	poison (n)	poison			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0923	poison (a person) (v)	empoisonner			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0924	amulet, charm, fetish	fétiche, amulette			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0925	protect by charm	protéger par fétiche			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0926	mask (n)	masque			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0927	(be) taboo	être interdit, tabou			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0928	exorcise	exorser			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0929	sacrifice	sacrifice	22.15	the sacrifice	5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0930	pour libation	verser une libation			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0931	dwelling place of the dead (spiritual)	séjour des morts (spirituel)			5	14	2	HUMAN CIVILISATION	RELIGION AND THE SUPERNATURAL	Religion and witchcraft
0932	tradition, custom	tradition, coutume			5	15		HUMAN CIVILISATION	CEREMONIES	
0933	feast (n)	fête, festin			5	15		HUMAN CIVILISATION	CEREMONIES	
0934	naming ceremony (baby)	cérémonie de "baptême" (dation du nom au bébé)			5	15		HUMAN CIVILISATION	CEREMONIES	
0935	circumcision (male)	circoncision (masculine)			5	15		HUMAN CIVILISATION	CEREMONIES	
0936	excision (female)	excision (féminine)			5	15		HUMAN CIVILISATION	CEREMONIES	
0937	initiation (male)	initiation (masculine)			5	15		HUMAN CIVILISATION	CEREMONIES	
0938	initiation (female)	initiation (féminine)			5	15		HUMAN CIVILISATION	CEREMONIES	
0939	marry	se marier, épouser	2.33	to marry	5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0940	marriage (state of wedlock)	mariage (par la cérémonie), alliance			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0941	(be) engaged, (be) betrothed	(être) fiancé			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0942	brideprice (for bride's family)	dot (pour la famille de la mariée)			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0943	wedding (ceremony)	mariage (cérémonie)			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0944	bride	mariée			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0945	groom	marié			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0946	polygamy	polygamie			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0947	adultery	adultère	21.43	the adultery	5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0948	divorce (v)	divorcer			5	15	1	HUMAN CIVILISATION	CEREMONIES	Marriage
0949	funeral (at occasion of death)	funérailles (à l'occasion de la mort), obsèques			5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0950	mourning	deuil			5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0951	wail, ululate (at funeral) (v)	pleurer, gémir, ululer			5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0952	condole, comfort (v)	offrir les condoléances, consoler			5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0953	corpse	cadavre	4.77	the corpse	5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0954	bury	enterrer, ensevelir	4.78	to bury	5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0955	grave	tombe, tombeau	4.79	the grave	5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0956	cemetery	cimetière			5	15	2	HUMAN CIVILISATION	CEREMONIES	Funeral
0957	animal	animal	3.11	the animal	6			Animals		
0958	ox (general term), bovine	boeuf, bovidé			6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0959	bull	taureau	3.21	the bull	6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0960	cow (female)	vache			6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0961	heifer	génisse			6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0962	steer	bouvillon, boeuf châtré			6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0963	calf	veau	3.24	the calf	6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0964	herd (of cattle)	troupeau (de boeufs)			6	1	1	Animals	DOMESTIC ANIMALS	Bovines
0965	goat	chèvre	3.36	the goat	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0966	he-goat, billy goat	bouc			6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0967	she-goat, nanny goat	chèvre (femelle)			6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0968	kid	cabri, chevreau	3.38	the kid	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0969	sheep	mouton	3.25	the sheep	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0970	ram	bélier	3.26	the ram	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0971	ewe	brebis	3.28	the ewe	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0972	lamb	agneau	3.29	the lamb	6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0973	flock (of sheep, goats)	troupeau (de moutons, de chèvres)			6	1	2	Animals	DOMESTIC ANIMALS	Ovines and caprines
0974	chicken	poulet	3.55	the chicken	6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0975	rooster (cock)	coq			6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0976	hen	poule	3.54	the hen	6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0977	chick	poussin			6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0978	turkey	dindon			6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0979	guinea fowl	pintade			6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0980	duck	canard	3.57	the duck	6	1	3	Animals	DOMESTIC ANIMALS	Poultry
0981	camel	chameau	3.78	the camel	6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0982	horse	cheval	3.41	the horse	6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0983	stallion	étalon	3.42	the stallion	6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0984	mare (female horse)	jument			6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0985	colt	poulain			6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0986	donkey	âne	3.46	the donkey	6	1	4	Animals	DOMESTIC ANIMALS	Beasts of burden
0987	pig	porc, cochon	3.35	the pig	6	1	5	Animals	DOMESTIC ANIMALS	Other
0988	boar (male pig)	verrat, cochon mâle			6	1	5	Animals	DOMESTIC ANIMALS	Other
0989	sow (female pig)	truie, cochon femelle			6	1	5	Animals	DOMESTIC ANIMALS	Other
0990	piglet	porcelet, goret, cochonnet			6	1	5	Animals	DOMESTIC ANIMALS	Other
0991	dog	chien	3.61	the dog	6	1	5	Animals	DOMESTIC ANIMALS	Other
0992	pup	chiot			6	1	5	Animals	DOMESTIC ANIMALS	Other
0993	cat	chat	3.62	the cat	6	1	5	Animals	DOMESTIC ANIMALS	Other
0994	kitten	chaton			6	1	5	Animals	DOMESTIC ANIMALS	Other
0995	elephant	éléphant	3.77	the elephant	6	2		Animals	MAMMALS	
0996	hippopotamus	hippopotame			6	2		Animals	MAMMALS	
0997	buffalo	buffle	3.917	the buffalo	6	2		Animals	MAMMALS	
0998	rhinoceros	rhinocéros			6	2		Animals	MAMMALS	
0999	giraffe	giraffe			6	2		Animals	MAMMALS	
1000	warthog	phacochère			6	2		Animals	MAMMALS	
1001	monkey	singe	3.76	the monkey	6	2		Animals	MAMMALS	
1002	baboon	babouin			6	2		Animals	MAMMALS	
1003	hyena	hyène			6	2		Animals	MAMMALS	
1004	jackal	chacal			6	2		Animals	MAMMALS	
1005	antelope	antilope			6	2		Animals	MAMMALS	
1006	zebra	zebra			6	2		Animals	MAMMALS	
1007	anteater, aardvark, antbear	fourmilier			6	2		Animals	MAMMALS	
1008	pangolin, scaly anteater	pangolin			6	2		Animals	MAMMALS	
1009	mouse	souris			6	2	1	Animals	MAMMALS	Rodents
1010	rat	rat			6	2	1	Animals	MAMMALS	Rodents
1011	cane rat, cutting grass, grass cutter	aulacode (grand), rat de canne			6	2	1	Animals	MAMMALS	Rodents
1012	palm rat	rat de palme			6	2	1	Animals	MAMMALS	Rodents
1013	shrew	musaraigne			6	2	1	Animals	MAMMALS	Rodents
1014	mole	taupe			6	2	1	Animals	MAMMALS	Rodents
1015	mongoose	mangouste			6	2	1	Animals	MAMMALS	Rodents
1016	hare	lièvre	3.863	the hare	6	2	1	Animals	MAMMALS	Rodents
1017	squirrel	écureuil	3.869	the squirrel	6	2	1	Animals	MAMMALS	Rodents
1018	porcupine	porc-épic			6	2	1	Animals	MAMMALS	Rodents
1019	bat	chauve-souris	3.591	the bat	6	2	1	Animals	MAMMALS	Rodents
1020	fruit bat	roussette (grande chauve-souris)			6	2	1	Animals	MAMMALS	Rodents
1021	wild cat	chat sauvage, fauve			6	2	2	Animals	MAMMALS	Cats
1022	civet cat	civette			6	2	2	Animals	MAMMALS	Cats
1023	genet	genette			6	2	2	Animals	MAMMALS	Cats
1024	leopard	léopard			6	2	2	Animals	MAMMALS	Cats
1025	lion	lion	3.72	the lion	6	2	2	Animals	MAMMALS	Cats
1026	hide (of animal)	peau (d'animal)			6	2	3	Animals	MAMMALS	Mammal parts
1027	fur	pelage, fourrure	6.28	the fur	6	2	3	Animals	MAMMALS	Mammal parts
1028	horn	corne	4.17	the horn	6	2	3	Animals	MAMMALS	Mammal parts
1029	hump (of cow)	bosse (de vache)			6	2	3	Animals	MAMMALS	Mammal parts
